player_id,player_display_name,position,recent_team,opponent_team,season,week,scored_touchdown,avg_offense_snap_share,avg_wopr,avg_rushing_epa,avg_receiving_epa,avg_racr,avg_rush_yards_over_expected_per_att,avg_rush_pct_over_expected,avg_avg_time_to_los,avg_percent_attempts_gte_eight_defenders,avg_redzone_carry_share,avg_redzone_target_share,avg_endzone_targets,avg_endzone_target_share,avg_inside_5_carry_share,avg_inside_5_target_share,rush_matchup_value,pass_matchup_value,avg_rushing_tds_allowed_to_RB,avg_passing_tds_allowed_to_RB,implied_total,depth_chart_rank,avg_scored_touchdown,position_group,avg_target_share,avg_avg_separation,avg_percent_share_of_intended_air_yards,avg_catch_percentage,avg_avg_expected_yac,avg_avg_yac_above_expectation,avg_passing_tds_allowed_to_WR,avg_passing_tds_allowed_to_TE,avg_receptions,avg_receiving_yards,avg_receiving_air_yards,avg_avg_intended_air_yards,avg_carries,avg_rushing_yards,avg_rushing_tds_allowed_to_QB
00-0030578,Cordarrelle Patterson,RB,PIT,ATL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,3,,RB,,,,,,,,,,,,,,,
00-0031687,Raheem Mostert,RB,MIA,JAX,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,26.25,1,,RB,,,,,,,,,,,,,,,
00-0032764,Derrick Henry,RB,BAL,KC,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.0,1,,RB,,,,,,,,,,,,,,,
00-0033045,Ezekiel Elliott,RB,DAL,CLE,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,1,,RB,,,,,,,,,,,,,,,
00-0033293,Aaron Jones,RB,MIN,NYG,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,21.25,1,,RB,,,,,,,,,,,,,,,
00-0033526,Samaje Perine,RB,KC,BAL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.0,2,,RB,,,,,,,,,,,,,,,
00-0033553,James Conner,RB,ARI,BUF,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,1,,RB,,,,,,,,,,,,,,,
00-0033699,Austin Ekeler,RB,WAS,TB,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.5,1,,RB,,,,,,,,,,,,,,,
00-0033854,Dare Ogunbowale,RB,HOU,IND,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,3,,RB,,,,,,,,,,,,,,,
00-0033897,Joe Mixon,RB,HOU,IND,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,1,,RB,,,,,,,,,,,,,,,
00-0033906,Alvin Kamara,RB,NO,CAR,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,1,,RB,,,,,,,,,,,,,,,
00-0033948,Jamaal Williams,RB,NO,CAR,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,2,,RB,,,,,,,,,,,,,,,
00-0034115,Jeffery Wilson,RB,MIA,JAX,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,26.25,2,,RB,,,,,,,,,,,,,,,
00-0034184,Gus Edwards,RB,LAC,LV,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,21.5,2,,RB,,,,,,,,,,,,,,,
00-0034208,Mike Boone,RB,CAR,NO,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.75,4,,RB,,,,,,,,,,,,,,,
00-0034844,Saquon Barkley,RB,PHI,GB,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,1,,RB,,,,,,,,,,,,,,,
00-0034972,Alexander Mattison,RB,LVR,LAC,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,18.5,2,,RB,,,,,,,,,,,,,,,
00-0034975,Justice Hill,RB,BAL,KC,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,22.0,2,,RB,,,,,,,,,,,,,,,
00-0035243,Miles Sanders,RB,CAR,NO,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.75,2,,RB,,,,,,,,,,,,,,,
00-0035250,Devin Singletary,RB,NYG,MIN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.75,1,,RB,,,,,,,,,,,,,,,
00-0035261,Tony Pollard,RB,TEN,CHI,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,20.25,1,,RB,,,,,,,,,,,,,,,
00-0035311,Myles Gaskin,RB,MIN,NYG,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,21.25,4,,RB,,,,,,,,,,,,,,,
00-0035537,Ty Johnson,RB,BUF,ARI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,26.5,2,,RB,,,,,,,,,,,,,,,
00-0035594,Travis Homer,RB,CHI,TEN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.25,4,,RB,,,,,,,,,,,,,,,
00-0035685,David Montgomery,RB,DET,LA,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,28.5,1,,RB,,,,,,,,,,,,,,,
00-0035700,Josh Jacobs,RB,GB,PHI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,23.75,1,,RB,,,,,,,,,,,,,,,
00-0036139,Rico Dowdle,RB,DAL,CLE,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,2,,RB,,,,,,,,,,,,,,,
00-0036158,J.K. Dobbins,RB,LAC,LV,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,21.5,1,,RB,,,,,,,,,,,,,,,
00-0036223,Jonathan Taylor,RB,IND,HOU,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,1,,RB,,,,,,,,,,,,,,,
00-0036251,Zack Moss,RB,CIN,NE,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,24.5,1,,RB,,,,,,,,,,,,,,,
00-0036275,D'Andre Swift,RB,CHI,TEN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.25,1,,RB,,,,,,,,,,,,,,,
00-0036328,Antonio Gibson,RB,NE,CIN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,16.5,2,,RB,,,,,,,,,,,,,,,
00-0036425,DeeJay Dallas,RB,ARI,BUF,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,4,,RB,,,,,,,,,,,,,,,
00-0036555,Chuba Hubbard,RB,CAR,NO,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.75,1,,RB,,,,,,,,,,,,,,,
00-0036875,Rhamondre Stevenson,RB,NE,CIN,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,16.5,1,,RB,,,,,,,,,,,,,,,
00-0036893,Najee Harris,RB,PIT,ATL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,1,,RB,,,,,,,,,,,,,,,
00-0036906,Khalil Herbert,RB,CHI,TEN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.25,2,,RB,,,,,,,,,,,,,,,
00-0036919,Kenneth Gainwell,RB,PHI,GB,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,2,,RB,,,,,,,,,,,,,,,
00-0036973,Travis Etienne,RB,JAX,MIA,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,1,,RB,,,,,,,,,,,,,,,
00-0036997,Javonte Williams,RB,DEN,SEA,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.0,1,,RB,,,,,,,,,,,,,,,
00-0037197,Isiah Pacheco,RB,KC,BAL,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,25.0,1,,RB,,,,,,,,,,,,,,,
00-0037228,Jaylen Warren,RB,PIT,ATL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,2,,RB,,,,,,,,,,,,,,,
00-0037248,James Cook,RB,BUF,ARI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,26.5,1,,RB,,,,,,,,,,,,,,,
00-0037256,Rachaad White,RB,TB,WAS,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,23.0,1,,RB,,,,,,,,,,,,,,,
00-0037258,Dameon Pierce,RB,HOU,IND,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,2,,RB,,,,,,,,,,,,,,,
00-0037263,Tyler Allgeier,RB,ATL,PIT,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,2,,RB,,,,,,,,,,,,,,,
00-0037267,Jerome Ford,RB,CLE,DAL,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,21.75,1,,RB,,,,,,,,,,,,,,,
00-0037276,Ty Chandler,RB,MIN,NYG,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,21.25,2,,RB,,,,,,,,,,,,,,,
00-0037525,Jordan Mason,RB,SF,NYJ,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,23.5,2,,RB,,,,,,,,,,,,,,,
00-0037557,Ronnie Rivers,RB,LAR,DET,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.0,3,,RB,,,,,,,,,,,,,,,
