season,week,player_id,player_display_name,position,position_group,recent_team,opponent_team,implied_total,prob_td
2025,1,00-0037256,Rachaad White,RB,RB,TB,ATL,0,0.47560975609756095
2025,1,00-0033553,James Conner,RB,RB,ARI,NO,0,0.47560975609756095
2025,1,00-0038134,Kenneth Walker,RB,RB,SEA,SF,0,0.47560975609756095
2025,1,00-0038597,Chase Brown,RB,RB,CIN,CLE,0,0.47560975609756095
2025,1,00-0033280,Christian McCaffrey,RB,RB,SF,SEA,0,0.47560975609756095
2025,1,00-0036139,Rico Dowdle,RB,RB,DAL,PHI,0,0.47560975609756095
2025,1,00-0036223,Jonathan Taylor,RB,RB,IND,MIA,0,0.47560975609756095
2025,1,00-0039910,Jayden Daniels,QB,QB,WAS,NYG,0,0.45454545454545453
2025,1,00-0034857,Josh Allen,QB,QB,BUF,BAL,0,0.45454545454545453
2025,1,00-0035710,Daniel Jones,QB,QB,NYG,WAS,0,0.45454545454545453
2025,1,00-0036875,Rhamondre Stevenson,RB,RB,NE,LVR,0,0.44224100096348257
2025,1,00-0039384,Tyrone Tracy,RB,RB,NYG,WAS,0,0.40540540540540543
2025,1,00-0039361,Bucky Irving,RB,RB,TB,ATL,0,0.40540540540540543
2025,1,00-0039139,Jahmyr Gibbs,RB,RB,DET,GB,0,0.40540540540540543
2025,1,00-0035685,David Montgomery,RB,RB,DET,GB,0,0.40540540540540543
2025,1,00-0033293,Aaron Jones,RB,RB,MIN,CHI,0,0.40540540540540543
2025,1,00-0034844,Saquon Barkley,RB,RB,PHI,DAL,0,0.40540540540540543
2025,1,00-0033906,Alvin Kamara,RB,RB,NO,ARI,0,0.40540540540540543
2025,1,00-0038542,Bijan Robinson,RB,RB,ATL,TB,0,0.392817577782548
2025,1,00-0039075,Puka Nacua,WR,WR_TE,LAR,HOU,0,0.3783783783783784
2025,1,00-0036322,Justin Jefferson,WR,WR_TE,MIN,CHI,0,0.3783783783783784
2025,1,00-0036900,Ja'Marr Chase,WR,WR_TE,CIN,CLE,0,0.3783783783783784
2025,1,00-0039040,Devon Achane,RB,RB,MIA,IND,0,0.3732394366197183
2025,1,00-0035261,Tony Pollard,RB,RB,TEN,DEN,0,0.3732394366197183
2025,1,00-0037248,James Cook,RB,RB,BUF,BAL,0,0.3732394366197183
2025,1,00-0032764,Derrick Henry,RB,RB,BAL,BUF,0,0.3732394366197183
2025,1,00-0036158,J.K. Dobbins,RB,RB,LAC,KC,0,0.3732394366197183
2025,1,00-0037840,Kyren Williams,RB,RB,LAR,HOU,0,0.3732394366197183
2025,1,00-0036555,Chuba Hubbard,RB,RB,CAR,JAX,0,0.3732394366197183
2025,1,00-0036973,Travis Etienne,RB,RB,JAX,CAR,0,0.3732394366197183
2025,1,00-0037746,Brian Robinson,RB,RB,WAS,NYG,0,0.3732394366197183
2025,1,00-0036275,D'Andre Swift,RB,RB,CHI,MIN,0,0.3732394366197183
2025,1,00-0036265,AJ Dillon,RB,RB,GB,DET,0,0.3732394366197183
2025,1,00-0035700,Josh Jacobs,RB,RB,GB,DET,0,0.3732394366197183
2025,1,00-0033923,Kareem Hunt,RB,RB,KC,LAC,0,0.3380281690140845
2025,1,00-0034791,Nick Chubb,RB,RB,CLE,CIN,0,0.3380281690140845
2025,1,00-0038555,Tank Bigsby,RB,RB,JAX,CAR,0,0.33589255751177577
2025,1,00-0034348,Courtland Sutton,WR,WR_TE,DEN,TEN,0,0.3248945147679324
2025,1,00-0038543,Jaxon Smith-Njigba,WR,WR_TE,SEA,SF,0,0.3248945147679324
2025,1,00-0036554,Nico Collins,WR,WR_TE,HOU,LAR,0,0.3248945147679324
2025,1,00-0033040,Tyreek Hill,WR,WR_TE,MIA,IND,0,0.3248945147679324
2025,1,00-0031588,Stefon Diggs,WR,WR_TE,HOU,LAR,0,0.3248945147679324
2025,1,00-0031408,Mike Evans,WR,WR_TE,TB,ATL,0,0.3248945147679324
2025,1,00-0034827,D.J. Moore,WR,WR_TE,CHI,MIN,0,0.3248945147679324
2025,1,00-0035659,Terry McLaurin,WR,WR_TE,WAS,NYG,0,0.3248945147679324
