player_name,team,opponent_team,position,predicted_touchdown_probability,price,market_implied_prob,model_edge
Jahmyr Gibbs,DET,GB,RB,0.5515810545764962,-160.0,0.6153846153846154,-0.06380356080811922
Bijan Robinson,ATL,TB,RB,0.5258568128979703,-180.0,0.6428571428571429,-0.11700032995917264
James Cook,BUF,BAL,RB,0.5233216291196346,-115.0,0.5348837209302325,-0.011562091810597863
Chase Brown,CIN,CLE,RB,0.5043767987018878,-135.0,0.574468085106383,-0.07009128640449525
Derrick Henry,BAL,BUF,RB,0.5043549514472223,-195.0,0.6610169491525424,-0.15666199770532008
Saquon Barkley,PHI,DAL,RB,0.5038845858311147,-190.0,0.6551724137931034,-0.1512878279619887
Rachaad White,TB,ATL,RB,0.493258866473966,230.0,0.30303030303030304,0.19022856344366296
Bucky Irving,TB,ATL,RB,0.49236499272141704,-170.0,0.6296296296296297,-0.1372646369082126
David Montgomery,DET,GB,RB,0.48732721312667826,125.0,0.4444444444444444,0.04288276868223384
Jonathan Taylor,IND,MIA,RB,0.480646773015363,-145.0,0.5918367346938775,-0.11118996167851453
James Conner,ARI,NO,RB,0.4786063404506062,-130.0,0.5652173913043478,-0.0866110508537416
Devon Achane,MIA,IND,RB,0.47639870579538984,-135.0,0.574468085106383,-0.09806937931099319
Kyren Williams,LA,HOU,RB,0.475171310200203,-175.0,0.6363636363636364,-0.16119232616343337
Josh Jacobs,GB,DET,RB,0.47433814074884617,-180.0,0.6428571428571429,-0.16851900210829673
J.K. Dobbins,DEN,TEN,RB,0.46667748333730813,150.0,0.4,0.06667748333730811
Jayden Daniels,WAS,NYG,QB,0.45491328667712144,125.0,0.4444444444444444,0.010468842232677023
Aaron Jones,MIN,CHI,RB,0.4481406796538537,145.0,0.40816326530612246,0.03997741434773122
Tee Higgins,CIN,CLE,WR,0.44705385313910384,125.0,0.4444444444444444,0.002609408694659421
A.J. Brown,PHI,DAL,WR,0.44072737726840083,135.0,0.425531914893617,0.015195462374783808
Alvin Kamara,NO,ARI,RB,0.43742589867282744,100.0,0.5,-0.06257410132717256
Christian McCaffrey,SF,SEA,RB,0.43551814611671613,-180.0,0.6428571428571429,-0.20733899674042677
Rhamondre Stevenson,NE,LV,RB,0.4331498260902253,145.0,0.40816326530612246,0.02498656078410283
Ja'Marr Chase,CIN,CLE,WR,0.43081753128075556,-125.0,0.5555555555555556,-0.12473802427480002
Rico Dowdle,CAR,JAX,RB,0.42855682669914436,360.0,0.21739130434782608,0.21116552235131827
Travis Etienne,JAX,CAR,RB,0.4281849851284112,185.0,0.3508771929824561,0.07730779214595507
DeVonta Smith,PHI,DAL,WR,0.4250652000661696,170.0,0.37037037037037035,0.05469482969579925
D'Andre Swift,CHI,MIN,RB,0.42226045805717444,120.0,0.45454545454545453,-0.03228499648828009
Chuba Hubbard,CAR,JAX,RB,0.42086641565918537,-105.0,0.5121951219512195,-0.09132870629203416
Mike Evans,TB,ATL,WR,0.4192625589022487,110.0,0.47619047619047616,-0.056927917288227436
Tank Bigsby,JAX,CAR,RB,0.4185177402433829,180.0,0.35714285714285715,0.061374883100525746
Rashee Rice,KC,LAC,WR,0.4156972317935104,165.0,0.37735849056603776,0.03833874122747266
Amon-Ra St. Brown,DET,GB,WR,0.4126025969000767,120.0,0.45454545454545453,-0.04194285764537781
Isaac Guerendo,SF,SEA,RB,0.41143811400689484,340.0,0.22727272727272727,0.18416538673416757
Chris Godwin,TB,ATL,WR,0.41039691225661673,185.0,0.3508771929824561,0.05951971927416061
Davante Adams,LA,HOU,WR,0.40764175784334983,135.0,0.425531914893617,-0.017890157050267197
A.J. Dillon,PHI,DAL,RB,0.40617628046962473,500.0,0.16666666666666666,0.23950961380295807
Terry McLaurin,WAS,NYG,WR,0.401147735234508,130.0,0.43478260869565216,-0.03363487346114419
Brian Thomas,JAX,CAR,WR,0.4003724035610277,115.0,0.46511627906976744,-0.06474387550873972
Brian Robinson,WAS,NYG,RB,0.3960822713109601,105.0,0.4878048780487805,-0.0917226067378204
Justin Jefferson,MIN,CHI,WR,0.3953788318836565,120.0,0.45454545454545453,-0.05916662266179801
Jalen McMillan,TB,ATL,WR,0.39476817967396527,265.0,0.273972602739726,0.12079557693423926
Drake London,ATL,TB,WR,0.39243308463074356,115.0,0.46511627906976744,-0.07268319443902388
Breece Hall,NYJ,PIT,RB,0.39146942037021987,130.0,0.43478260869565216,-0.043313188325432295
Courtland Sutton,DEN,TEN,WR,0.3909897972334983,145.0,0.40816326530612246,-0.017173468072624154
Josh Allen,BUF,BAL,QB,0.3908631134143377,-115.0,0.5348837209302325,-0.1440206075158948
Jalen Hurts,PHI,DAL,QB,0.3902194240212386,-125.0,0.5555555555555556,-0.16533613153431698
Jerome Ford,CLE,CIN,RB,0.37839929027298885,260.0,0.2777777777777778,0.10062151249521106
Jameson Williams,DET,GB,WR,0.37577070738922475,185.0,0.3508771929824561,0.024893514406768624
Tony Pollard,TEN,DEN,RB,0.3701584747437055,190.0,0.3448275862068966,0.025330888536808926
Kareem Hunt,KC,LAC,RB,0.370143499447056,265.0,0.273972602739726,0.09617089670732998
Malik Nabers,NYG,WAS,WR,0.369523304853214,135.0,0.425531914893617,-0.05600861004040303
Tyrone Tracy,NYG,WAS,RB,0.36455189981978575,190.0,0.3448275862068966,0.019724313612889177
Jaxon Smith-Njigba,SEA,SF,WR,0.3638786415777393,180.0,0.35714285714285715,0.006735784434882153
D.J. Moore,CHI,MIN,WR,0.36222815565685557,185.0,0.3508771929824561,0.011350962674399445
Xavier Worthy,KC,LAC,WR,0.3608427526337963,190.0,0.3448275862068966,0.016015166426899707
Tyreek Hill,MIA,IND,WR,0.3571720738045826,135.0,0.425531914893617,-0.06835984108903442
Rashid Shaheed,NO,ARI,WR,0.3527707927017314,330.0,0.23255813953488372,0.12021265316684768
Olamide Zaccheaus,CHI,MIN,WR,0.3525864225987757,500.0,0.16666666666666666,0.18591975593210905
Puka Nacua,LA,HOU,WR,0.34868507687293043,130.0,0.43478260869565216,-0.08609753182272173
Trey McBride,ARI,NO,TE,0.3472330112949943,190.0,0.3448275862068966,0.0024054250880977124
Zay Flowers,BAL,BUF,WR,0.3470709092661161,190.0,0.3448275862068966,0.0022433230592195375
Jaleel McLaughlin,DEN,TEN,RB,0.3469844827961138,500.0,0.16666666666666666,0.18031781612944717
Khalil Shakir,BUF,BAL,WR,0.34623780286457206,180.0,0.35714285714285715,-0.010905054278285087
Jonnu Smith,PIT,NYJ,TE,0.34369535765667636,300.0,0.25,0.09369535765667636
Adam Thielen,CAR,JAX,WR,0.3435409985014825,320.0,0.23809523809523808,0.10544576040624443
Jordan Addison,MIN,CHI,WR,0.34353297264509897,190.0,0.3448275862068966,-0.0012946135617976084
Michael Pittman,IND,MIA,WR,0.3427803078248513,175.0,0.36363636363636365,-0.020856055811512342
Nick Chubb,HOU,LA,RB,0.3417276691227731,285.0,0.2597402597402597,0.08198740938251337
Marvin Mims,DEN,TEN,WR,0.3415079209193761,250.0,0.2857142857142857,0.0557936352050904
Dallas Goedert,PHI,DAL,TE,0.34135702917019894,230.0,0.30303030303030304,0.038326726139895906
Joe Mixon,HOU,LA,RB,0.3373612721504082,105.0,0.4878048780487805,-0.1504436058983723
Stefon Diggs,NE,LV,WR,0.33472604084131546,190.0,0.3448275862068966,-0.01010154536558111
Isiah Pacheco,KC,LAC,RB,0.33149744668376063,155.0,0.39215686274509803,-0.0606594160613374
CeeDee Lamb,DAL,PHI,WR,0.3262114648913568,150.0,0.4,-0.07378853510864325
Nico Collins,HOU,LA,WR,0.3257722156157621,125.0,0.4444444444444444,-0.11867222882868234
Brandon Aiyuk,SF,SEA,WR,0.3222218424195975,210.0,0.3225806451612903,-0.0003588027416928097
Wan'Dale Robinson,NYG,WAS,WR,0.31647106343887504,350.0,0.2222222222222222,0.09424884121665283
Najee Harris,LAC,KC,RB,0.3162699792959927,170.0,0.37037037037037035,-0.05410039107437764
Quentin Johnston,LAC,KC,WR,0.3157770881799942,350.0,0.2222222222222222,0.09355486595777202
Sam LaPorta,DET,GB,TE,0.3137850066835301,185.0,0.3508771929824561,-0.03709218629892602
George Kittle,SF,SEA,TE,0.3115477263138784,155.0,0.39215686274509803,-0.08060913643121964
Jerry Jeudy,CLE,CIN,WR,0.30967121157426364,205.0,0.32786885245901637,-0.01819764088475273
Marvin Harrison,ARI,NO,WR,0.3085371439222205,125.0,0.4444444444444444,-0.13590730052222394
Jaylen Waddle,MIA,IND,WR,0.3046260873115054,195.0,0.3389830508474576,-0.03435696353595219
Mark Andrews,BAL,BUF,TE,0.3042520172500483,200.0,0.3333333333333333,-0.029081316083285014
Zach Charbonnet,SEA,SF,RB,0.29949860631331277,265.0,0.273972602739726,0.025526003573586753
Jaylen Warren,PIT,NYJ,RB,0.29671356680293814,180.0,0.35714285714285715,-0.060429290339919006
Garrett Wilson,NYJ,PIT,WR,0.2936241894713154,195.0,0.3389830508474576,-0.0453588613761422
Antonio Gibson,NE,LV,RB,0.2914968125034428,900.0,0.1,0.19149681250344278
Ricky Pearsall,SF,SEA,WR,0.29134059963294695,205.0,0.32786885245901637,-0.03652825282606942
Zach Ertz,WAS,NYG,TE,0.29098285829449966,200.0,0.3333333333333333,-0.04235047503883366
Pat Freiermuth,PIT,NYJ,TE,0.2891860231096603,340.0,0.22727272727272727,0.06191329583693303
Jayden Reed,GB,DET,WR,0.28867852751003426,190.0,0.3448275862068966,-0.05614905869686232
Parker Washington,JAX,CAR,WR,0.2881805632208612,450.0,0.18181818181818182,0.1063623814026794
Jakobi Meyers,LV,NE,WR,0.2881680822968682,240.0,0.29411764705882354,-0.0059495647619553504
Ladd McConkey,LAC,KC,WR,0.27990783552768067,165.0,0.37735849056603776,-0.09745065503835709
George Pickens,DAL,PHI,WR,0.27667313686990574,265.0,0.273972602739726,0.0027005341301797325
Rashod Bateman,BAL,BUF,WR,0.2752254462577414,195.0,0.3389830508474576,-0.06375760458971619
Tyjae Spears,TEN,DEN,RB,0.2742197336581058,350.0,0.2222222222222222,0.0519975114358836
Christian Kirk,HOU,LA,WR,0.2739796912884669,285.0,0.2597402597402597,0.014239431548207171
Austin Ekeler,WAS,NYG,RB,0.2739491073124757,250.0,0.2857142857142857,-0.011765178401810017
Evan Engram,DEN,TEN,TE,0.2738738947785149,250.0,0.2857142857142857,-0.011840390935770773
Keaton Mitchell,BAL,BUF,RB,0.27387083475130747,650.0,0.13333333333333333,0.14053750141797414
Kenneth Walker,SEA,SF,RB,0.27284437442927595,-120.0,0.5454545454545454,-0.27261017102526947
Deebo Samuel,WAS,NYG,WR,0.27213608990597743,130.0,0.43478260869565216,-0.16264651878967473
Brandin Cooks,NO,ARI,WR,0.26719943464147466,400.0,0.2,0.06719943464147465
Jalen Coker,CAR,JAX,WR,0.26704281114351536,450.0,0.18181818181818182,0.08522462932533353
Michael Carter,ARI,NO,RB,0.2663554745976547,1500.0,0.0625,0.20385547459765468
Calvin Ridley,TEN,DEN,WR,0.2654489968727456,235.0,0.29850746268656714,-0.03305846581382155
D.J. Montgomery,IND,MIA,WR,0.2651115451059607,1300.0,0.07142857142857142,0.19368297367738926
Brandon Johnson,PIT,NYJ,WR,0.2642488517512943,1600.0,0.058823529411764705,0.2054253223395296
DeAndre Hopkins,BAL,BUF,WR,0.26386519947619197,330.0,0.23255813953488372,0.03130705994130825
Hunter Henry,NE,LV,TE,0.26177676162202496,300.0,0.25,0.011776761622024956
Chris Olave,NO,ARI,WR,0.2607180907588779,180.0,0.35714285714285715,-0.09642476638397923
Romeo Doubs,GB,DET,WR,0.260067798704984,230.0,0.30303030303030304,-0.04296250432531906
Travis Kelce,KC,LAC,TE,0.25560002003653826,195.0,0.3389830508474576,-0.08338303081091936
Alec Pierce,IND,MIA,WR,0.2542945648427245,295.0,0.25316455696202533,0.0011300078806991687
Darren Waller,MIA,IND,TE,0.2529878132379709,265.0,0.273972602739726,-0.020984789501755086
Calvin Austin,PIT,NYJ,WR,0.25282186631978454,400.0,0.2,0.05282186631978453
Keon Coleman,BUF,BAL,WR,0.25263777214333877,175.0,0.36363636363636365,-0.11099859149302488
Rome Odunze,CHI,MIN,WR,0.2523441002728937,205.0,0.32786885245901637,-0.07552475218612265
Jauan Jennings,SF,SEA,WR,0.25222051847420673,210.0,0.3225806451612903,-0.07036012668708358
Emanuel Wilson,GB,DET,RB,0.2518004321149202,1100.0,0.08333333333333333,0.1684670987815869
Alexander Mattison,MIA,IND,RB,0.25151572211295525,850.0,0.10526315789473684,0.14625256421821842
Brock Bowers,LV,NE,TE,0.25123295354166675,185.0,0.3508771929824561,-0.09964423944078937
Dalton Kincaid,BUF,BAL,TE,0.24862007103708017,210.0,0.3225806451612903,-0.07396057412421014
Noah Fant,SEA,SF,TE,0.24757790793525825,475.0,0.17391304347826086,0.07366486445699738
Darnell Mooney,ATL,TB,WR,0.24715860892215083,230.0,0.30303030303030304,-0.05587169410815221
Malik Washington,MIA,IND,WR,0.24607134494425664,650.0,0.13333333333333333,0.11273801161092331
