Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Alvin Kamara,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,-110,DraftKings
Javonte Williams,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,155,DraftKings
Courtland Sutton,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,200,DraftKings
Bo Nix,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,255,DraftKings
Spencer Rattler,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,390,DraftKings
Juwan Johnson,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,425,DraftKings
Bub Means,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,390,DraftKings
Devaughn Vele,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,400,DraftKings
Jaleel McLaughlin,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,425,DraftKings
Mason Tipton,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,475,DraftKings
Troy Franklin,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,500,DraftKings
Jamaal Williams,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,600,DraftKings
Cedrick Wilson Jr.,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,550,DraftKings
Foster Moreau,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,500,DraftKings
Marvin Mims Jr.,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,650,DraftKings
Audric Estime,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,700,DraftKings
Lucas Krull,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,700,DraftKings
Adam Trautman,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,700,DraftKings
Lil'Jordan Humphrey,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,850,DraftKings
Adam Prentice,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,2500,DraftKings
Dallin Holker,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,2500,DraftKings
Nate Adkins,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,2200,DraftKings
Jordan Mims,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,2800,DraftKings
Michael Burton,N/A,New Orleans Saints,Denver Broncos,2024,7,2024-10-18T00:15:00Z,2800,DraftKings
Tank Bigsby,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,-110,DraftKings
Antonio Gibson,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,140,DraftKings
Brian Thomas Jr,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,165,DraftKings
Evan Engram,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,175,DraftKings
D'Ernest Johnson,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,200,DraftKings
Rhamondre Stevenson,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,160,DraftKings
Christian Kirk,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,205,DraftKings
Gabe Davis,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,220,DraftKings
Hunter Henry,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,250,DraftKings
Trevor Lawrence,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,370,DraftKings
Drake Maye,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,300,DraftKings
DeMario Douglas,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,310,DraftKings
Kendrick Bourne,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,475,DraftKings
JaMycal Hasty,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,500,DraftKings
Brenton Strange,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,600,DraftKings
Ja'Lynn Polk,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,475,DraftKings
Kayshon Boutte,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,650,DraftKings
K.J. Osborn,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,850,DraftKings
Parker Washington,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,900,DraftKings
Luke Farrell,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,1000,DraftKings
Austin Hooper,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,900,DraftKings
Tim Jones,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,1400,DraftKings
Jaheim Bell,N/A,Jacksonville Jaguars,New England Patriots,2024,7,2024-10-20T13:30:00Z,1800,DraftKings
Bijan Robinson,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,-195,DraftKings
Kenneth Walker III,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,-165,DraftKings
Drake London,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,120,DraftKings
Tyler Allgeier,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,145,DraftKings
DK Metcalf,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,125,DraftKings
Darnell Mooney,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,185,DraftKings
Kyle Pitts,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,170,DraftKings
Jaxon Smith-Njigba,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,185,DraftKings
Ray-Ray McCloud III,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,245,DraftKings
Zach Charbonnet,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,245,DraftKings
Tyler Lockett,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,240,DraftKings
Noah Fant,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,300,DraftKings
Geno Smith,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,390,DraftKings
Kirk Cousins,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,700,DraftKings
KhaDarel Hodge,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,800,DraftKings
Charlie Woerner,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,950,DraftKings
AJ Barner,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,750,DraftKings
Avery Williams,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,1100,DraftKings
Jake Bobo,N/A,Atlanta Falcons,Seattle Seahawks,2024,7,2024-10-20T17:00:00Z,800,DraftKings
