feature,rf_importance,lgbm_importance,rf_importance_norm,lgbm_importance_norm,avg_importance
avg_carries,0.11258189723923756,979,0.11258189723923759,0.08158333333333333,0.09708261528628545
avg_rushing_epa,0.0908869298897018,1197,0.09088692988970182,0.09975,0.09531846494485091
avg_rushing_yards,0.1077366177950013,970,0.10773661779500132,0.08083333333333333,0.09428497556416732
rushing_tds_allowed_to_QB,0.07972899318897468,1255,0.0797289931889747,0.10458333333333333,0.09215616326115401
implied_total,0.07797991429406782,1159,0.07797991429406784,0.09658333333333333,0.08728162381370058
avg_redzone_carry_share,0.09242377966538778,981,0.0924237796653878,0.08175,0.0870868898326939
avg_offense_snap_share,0.07933780959754412,1035,0.07933780959754413,0.08625,0.08279390479877206
avg_scored_touchdown,0.08557985304166946,906,0.08557985304166947,0.0755,0.08053992652083473
spread_line,0.06677127924515151,1021,0.06677127924515153,0.08508333333333333,0.07592730628924244
avg_inside_5_carry_share,0.07244289631618173,806,0.07244289631618174,0.06716666666666667,0.0698047814914242
rush_matchup_value,0.06564329192076553,883,0.06564329192076554,0.07358333333333333,0.06961331262704944
avg_explosive_rushing_plays,0.04829354778367712,672,0.048293547783677136,0.056,0.05214677389183857
depth_chart_rank,0.02059319002263949,136,0.020593190022639492,0.011333333333333334,0.015963261677986413
