feature,importance,importance_pct
avg_rushing_epa,295,11.174242424242424
avg_redzone_carry_share,268,10.151515151515152
avg_carries,251,9.507575757575758
implied_total,244,9.242424242424242
avg_scored_touchdown,240,9.090909090909092
rush_matchup_value,222,8.409090909090908
avg_offense_snap_share,196,7.424242424242425
avg_inside_5_carry_share,185,7.007575757575757
avg_rushing_yards,182,6.893939393939394
rushing_tds_allowed_to_QB,175,6.628787878787879
depth_chart_rank,140,5.303030303030303
avg_explosive_rushing_plays,135,5.113636363636364
spread_line,107,4.053030303030303
