feature,rf_importance,lgbm_importance,rf_importance_norm,lgbm_importance_norm,avg_importance
avg_offense_snap_share,0.10795806305267237,206,0.10795806305267237,0.05421052631578947,0.08108429468423092
avg_redzone_carry_share,0.07638150031297147,158,0.07638150031297147,0.041578947368421056,0.05898022384069626
avg_wopr,0.04197233905478599,176,0.04197233905478599,0.04631578947368421,0.0441440642642351
avg_scored_touchdown,0.04864578970638336,147,0.04864578970638336,0.038684210526315786,0.04366500011634958
rush_matchup_value,0.0554998474053247,117,0.0554998474053247,0.030789473684210526,0.043144660544767614
implied_total,0.03800142231307553,176,0.03800142231307553,0.04631578947368421,0.04215860589337987
avg_receiving_air_yards_allowed,0.03180494762472644,183,0.03180494762472644,0.04815789473684211,0.03998142118078427
avg_explosive_rushing_plays_allowed,0.030010282357529797,189,0.030010282357529797,0.049736842105263156,0.03987356223139647
redzone_td_rate,0.03629065682791665,165,0.03629065682791665,0.04342105263157895,0.0398558547297478
avg_inside_5_carry_share,0.04395535943492559,135,0.04395535943492559,0.035526315789473684,0.03974083761219964
avg_rushing_epa,0.03485104438489677,163,0.03485104438489677,0.04289473684210526,0.03887289061350102
avg_explosive_rushing_plays,0.039276060516322334,146,0.039276060516322334,0.038421052631578946,0.03884855657395064
depth_chart_rank,0.0629246403322055,53,0.0629246403322055,0.013947368421052632,0.03843600437662907
avg_receiving_epa,0.029789486749192667,177,0.029789486749192667,0.04657894736842105,0.03818421705880686
avg_racr,0.029738640793089525,173,0.029738640793089525,0.045526315789473686,0.03763247829128161
rushing_tds_allowed_to_RB,0.03314549322396437,150,0.03314549322396437,0.039473684210526314,0.03630958871724534
avg_explosive_receiving_plays_allowed,0.031708037776824946,154,0.031708037776824946,0.04052631578947368,0.03611717678314931
avg_rushing_epa_allowed,0.0292662707624431,160,0.0292662707624431,0.042105263157894736,0.03568576696016892
avg_rushing_yards_allowed,0.029977244129994095,155,0.029977244129994095,0.04078947368421053,0.035383358907102314
avg_receiving_yards_allowed,0.03167325569313074,145,0.03167325569313074,0.038157894736842106,0.03491557521498642
avg_receiving_epa_allowed,0.028734928759540715,139,0.028734928759540715,0.03657894736842105,0.032656938063980886
passing_tds_allowed_to_RB,0.026318583128440577,147,0.026318583128440577,0.038684210526315786,0.03250139682737818
avg_redzone_target_share,0.028632926201328845,135,0.028632926201328845,0.035526315789473684,0.032079620995401265
spread_line,0.03134469249981002,120,0.03134469249981002,0.031578947368421054,0.03146181993411554
avg_explosive_receiving_plays,0.022098486958503933,131,0.022098486958503933,0.034473684210526316,0.028286085584515126
