feature,importance,importance_pct
avg_offense_snap_share,0.19378476,19.378475
avg_redzone_carry_share,0.10572649,10.572649
depth_chart_rank,0.094261646,9.426165
avg_scored_touchdown,0.04348578,4.348578
rush_matchup_value,0.03832641,3.832641
avg_explosive_rushing_plays,0.03816985,3.816985
avg_inside_5_carry_share,0.033980664,3.3980663
implied_total,0.030893978,3.0893977
spread_line,0.02836102,2.836102
avg_rushing_epa,0.02766104,2.766104
avg_rushing_yards_allowed,0.027285734,2.7285733
avg_wopr,0.027066154,2.7066154
avg_receiving_yards_allowed,0.025990488,2.5990489
rushing_tds_allowed_to_RB,0.025518762,2.5518763
avg_redzone_target_share,0.025052877,2.5052876
avg_rushing_epa_allowed,0.02492827,2.492827
avg_receiving_air_yards_allowed,0.024825094,2.4825094
avg_explosive_rushing_plays_allowed,0.02446633,2.446633
avg_receiving_epa,0.024084097,2.4084096
avg_explosive_receiving_plays_allowed,0.023709487,2.3709488
avg_racr,0.023623982,2.3623981
redzone_td_rate,0.023536153,2.3536153
avg_explosive_receiving_plays,0.022808954,2.2808955
avg_receiving_epa_allowed,0.021930698,2.19307
passing_tds_allowed_to_RB,0.020521292,2.0521293
