feature,importance,importance_pct
implied_total,383,14.222057185295208
avg_offense_snap_share,369,13.70219086520609
avg_receiving_yards,193,7.166728555514296
avg_scored_touchdown,178,6.609728926847382
passing_tds_allowed_to_TE,153,5.681396212402525
depth_chart_rank,143,5.310063126624582
spread_line,134,4.975863349424434
avg_target_share,131,4.864463423691051
avg_wopr,103,3.824730783512811
avg_receptions,98,3.63906424062384
avg_receiving_epa,94,3.490531006312662
avg_explosive_receiving_plays,93,3.4533976977348684
passing_tds_allowed_to_WR,80,2.9706646862235426
avg_receiving_air_yards_allowed,78,2.8963980690679536
avg_racr,70,2.5993316004455997
redzone_td_rate,66,2.4507983661344226
avg_endzone_targets,64,2.376531748978834
avg_receiving_epa_allowed,63,2.3393984404010397
avg_receiving_yards_allowed,57,2.116598588934274
avg_receiving_air_yards,55,2.042331971778686
avg_explosive_receiving_plays_allowed,52,1.9309320460453028
avg_endzone_target_share,36,1.3367991088005942
