feature,importance,importance_pct
avg_receiving_yards,0.17279926,17.279926
avg_receptions,0.12368258,12.368258
avg_wopr,0.116975375,11.697537
avg_target_share,0.08213152,8.213152
avg_offense_snap_share,0.079342246,7.9342246
depth_chart_rank,0.045076035,4.5076036
implied_total,0.03617798,3.617798
avg_scored_touchdown,0.034703854,3.4703856
avg_receiving_epa,0.032489054,3.2489054
avg_explosive_receiving_plays,0.030649044,3.0649045
spread_line,0.027158052,2.715805
avg_endzone_targets,0.024612967,2.4612968
avg_endzone_target_share,0.021841705,2.1841705
avg_racr,0.021751791,2.175179
avg_receiving_yards_allowed,0.02168756,2.168756
avg_receiving_air_yards,0.021611778,2.1611779
passing_tds_allowed_to_TE,0.020547507,2.0547507
passing_tds_allowed_to_WR,0.019617619,1.961762
avg_receiving_air_yards_allowed,0.01824324,1.824324
avg_explosive_receiving_plays_allowed,0.01665858,1.665858
redzone_td_rate,0.016357293,1.6357293
avg_receiving_epa_allowed,0.015884986,1.5884986
