player_id,player_display_name_x,position,recent_team,season,week,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,opponent_team,wopr,rushing_epa,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,redzone_carry_share,redzone_target_share,redzone_trips,redzone_tds,redzone_td_rate,endzone_targets,endzone_target_share,team,spread_line,total_line,implied_total,inside_5_carry_share,inside_5_target_share,rushing_tds_allowed_to_DB,rushing_tds_allowed_to_QB,rushing_tds_allowed_to_RB,rushing_tds_allowed_to_TE,rushing_tds_allowed_to_WR,passing_tds_allowed_to_DB,passing_tds_allowed_to_DL,passing_tds_allowed_to_LB,passing_tds_allowed_to_OL,passing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,passing_tds_allowed_to_WR,depth_chart_rank,offense_snap_share,player_display_name_y,rush_yards_over_expected_per_att,rush_pct_over_expected,avg_time_to_los,percent_attempts_gte_eight_defenders,player_display_name,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,avg_carries,avg_rushing_yards,avg_receptions,avg_receiving_yards,avg_wopr,avg_rushing_epa,avg_receiving_epa,avg_target_share,avg_receiving_air_yards,avg_racr,avg_scored_touchdown,avg_redzone_carry_share,avg_redzone_target_share,avg_endzone_targets,avg_endzone_target_share,avg_inside_5_carry_share,avg_inside_5_target_share,avg_offense_snap_share,avg_rush_yards_over_expected_per_att,avg_rush_pct_over_expected,avg_avg_time_to_los,avg_percent_attempts_gte_eight_defenders,avg_avg_cushion,avg_avg_separation,avg_avg_intended_air_yards,avg_percent_share_of_intended_air_yards,avg_catch_percentage,avg_avg_expected_yac,avg_avg_yac_above_expectation,team_continuity,rush_matchup_value,pass_matchup_value,position_encoded,opponent_encoded
00-0030578,Cordarrelle Patterson,RB,PIT,2024,1,4,13.0,0,0,0,0.0,0,ATL,0.0,-1.2048415,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.6852729338433925,0.0,0.0,PIT,3.5,42.0,19.25,0.0,0.0,0.0,0.0373424647144318,0.2901080910622453,0.037324801496557,0.0,0.0,0.0,0.0,0.0,0.0,0.2414602768735324,0.995383488622104,1.6519719119809635,3,0.13,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.044931246132225,12.463338223037782,0.0004299028444639,0.0033384153500598,4.458381110394303e-05,1.0461137436911394,0.0001085748730468,1.7539627192100216e-05,0.0054687506029123,9.355260682131209e-05,0.0113102843962997,0.0459801339896294,6.881785836630537e-06,7.117572954064e-05,1.905253240125714e-06,0.0016356026250026,8.194852905807795e-08,0.9644372644620848,-1.6880842436014503e-30,8.630644691964402e-31,7.224384752367779e-30,5.373995912866035e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0133392088985176,1.6616779134971634e-06,1,1
00-0030578,Cordarrelle Patterson,RB,PIT,2024,2,2,3.0,0,0,0,0.0,0,DEN,0.0,-0.82626283,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,0.4111637603059321,0.0,0.0,PIT,-2.5,36.5,19.5,0.0,0.0,0.0,0.4899213395142064,0.6094578438157836,0.0373248000026295,0.0,0.0,0.0,0.0,0.0,0.0,0.4086114869670373,0.6907107899313782,0.0370128494457761,3,0.06,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.826958747679335,12.67800293382267,0.0002579417066783,0.0020030492100359,2.675028666236581e-05,0.1457316483905867,6.514492382810406e-05,1.0523776315260129e-05,0.0032812503617474,5.6131564092787246e-05,0.0067861706377798,0.0275880803937776,4.129071501978322e-06,4.2705437724383993e-05,1.1431519440754284e-06,0.0009813615750016,4.9169117434846766e-08,0.6306623586772508,-1.01285054616087e-30,5.178386815178641e-31,4.3346308514206674e-30,3.2243975477196214e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0168137719918082,1.6871860462165803e-06,1,9
00-0030578,Cordarrelle Patterson,RB,PIT,2024,3,4,33.0,0,3,5,15.0,0,LAC,0.32333082,1.696124,-5.1090035,0.16129032,20.0,0.11627907,0.75,0,0.0,0.33333334,5.0,1.0,0.4466982561835673,0.0,0.0,PIT,-2.5,35.5,19.0,0.0,0.0,0.0,0.1928608322015402,1.390761412868511,0.0024197842541664,0.8000000000000052,0.0,0.0,0.0,0.0,0.0,0.1011582338552911,0.0573222321460856,0.8084223156882658,3,0.34,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.496175248607601,8.8068017602936,0.000154765024007,0.0012018295260215,1.6050171997419485e-05,-0.2430661436408189,3.908695429686243e-05,6.314265789156076e-06,0.0019687502170484,3.367893845567234e-05,0.0040717023826679,0.0165528482362665,2.477442901186993e-06,2.562326263463039e-05,6.85891166445257e-07,0.0005888169450009,2.9501470460908053e-08,0.4023974152063505,-6.0771032769652204e-31,3.107032089107184e-31,2.6007785108524e-30,1.934638528631773e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0230210626000681,2.506137483614048e-07,1,17
00-0030578,Cordarrelle Patterson,RB,PIT,2024,4,6,43.0,0,2,2,19.0,0,IND,0.114780046,1.9261774,-0.9726211,0.0625,7.0,0.030042918,2.7142856,0,0.0,0.0,4.0,3.0,0.3480189537101269,0.0,0.0,PIT,-2.5,40.5,21.5,0.0,0.0,0.0,0.0014512215450507,0.7791791005931178,8.911663025895811e-10,2.4946953008171692e-11,0.0,0.0,0.0,0.0,0.0,1.2293435416316334e-06,0.4202058724023265,0.6318460700052994,3,0.13,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.097705149164561,18.48408105617616,1.2000928590144049,6.000721097715615,0.1293419579459109,0.5326098968690978,-2.0435779653689266,0.0645199156690011,8.001181250130232,0.3000202073630735,0.0024430214296007,0.0099317089417599,0.133334823772717,1.537395758077823e-05,4.115346998671542e-07,0.0003532901670005,1.7700882276544832e-08,0.3774384491238103,-3.646261966179131e-31,1.8642192534643104e-31,1.56046710651144e-30,1.1607831171790638e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0077385800405931,1.6391430447958173e-07,1,13
00-0030578,Cordarrelle Patterson,RB,PIT,2024,10,3,14.0,0,0,0,0.0,0,WAS,0.0,-1.8056443,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,3.0,0.5088113722260892,0.0,0.0,PIT,2.0,45.0,21.5,0.0,0.0,0.0,0.1357360156822165,0.0873099499701583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676061880494694,1.0491871117314555,0.6511575024127286,3,0.1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.258623089498737,28.290448633705704,1.5200557154086431,11.20043265862937,0.1235171931858586,1.0900368911091298,-1.6151952125251887,0.0637119494014006,7.600708750078139,1.2657263692603735,0.0014658128577604,0.0059590253650559,0.0800008942636302,9.224374548466938e-06,2.4692081992029245e-07,0.0002119741002003,1.0620529365926895e-08,0.2784630694742862,-2.187757179707478e-31,1.1185315520785863e-31,9.362802639068641e-31,6.96469870307438e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0005202822064939,0.054085555017127,1,31
00-0030578,Cordarrelle Patterson,RB,PIT,2024,11,1,0.0,0,1,1,0.0,0,BAL,0.035010595,-0.4976819,-0.80115926,0.03125,-3.0,-0.016949153,-0.0,0,0.0,0.0,4.0,0.0,0.5452868233356553,0.0,0.0,PIT,3.0,48.0,22.5,0.0,0.0,0.0,0.0120823508174138,0.1940750265647693,0.0,0.0311040000000009,0.0,0.0,0.0,0.0111974424754622,0.0,0.0995270838564576,0.0195769611048286,0.177510943679464,3,0.15,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.755173853699243,22.574269180223425,0.9120334292451858,6.720259595177621,0.0741103159115151,-0.0682355748376962,-0.9691171275151133,0.0382271696408403,4.560425250046883,0.7594358215562241,0.0008794877146562,0.0035754152190335,0.0480005365581781,5.534624729080163e-06,1.4815249195217546e-07,0.0001271844601202,6.372317619556137e-09,0.2070778416845717,-1.312654307824487e-31,6.711189312471516e-32,5.617681583441183e-31,4.178819221844628e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.000693898803614,0.0047773534271807,1,2
00-0030578,Cordarrelle Patterson,RB,PIT,2024,12,1,-2.0,0,0,0,0.0,0,CLE,0.0,0.37635553,0.0,0.0,0.0,0.0,0.0,0,0.25,0.33333334,3.0,1.0,0.3271720940013868,0.0,0.0,PIT,-3.5,36.5,20.0,0.5,1.0,0.0,0.0027727841159587,0.8634086074296818,5.346997815537492e-10,0.7880310784000009,0.0,0.0,0.0,0.0,0.0,0.0004217969976708,0.2231864798919326,0.8967490525683472,3,0.12,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6531043122195457,13.544561508134054,0.9472200575471116,4.0321557571065725,0.0584704274967572,-0.2400140992857049,-0.901933981571934,0.0354363017845042,1.5362551500281294,0.4556614929337344,0.0005276926287937,0.0021452491314201,0.0288003219349068,3.320774837448098e-06,8.889149517130527e-08,7.631067607212562e-05,3.823390571733682e-09,0.184246705010743,-7.87592584694692e-32,4.02671358748291e-32,3.3706089500647102e-31,2.5072915331067764e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0018522265651492,1.2147889324098014e-05,1,7
00-0030578,Cordarrelle Patterson,RB,PIT,2024,13,3,16.0,0,3,3,37.0,0,CIN,0.18634021,0.14406691,2.5530992,0.083333336,17.0,0.087628864,2.1764705,0,0.0,0.0,6.0,2.0,0.3296365897341654,0.0,0.0,PIT,3.0,46.0,21.5,0.0,0.0,0.0,0.1458897434769738,0.8625885756171275,0.0001129917789309,3.2068714616158615e-08,0.0,0.0,0.0,0.0186770246337602,0.0,0.0179855107209242,0.2754815079734814,0.6424651623793131,3,0.14,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918625873317275,7.326736904880431,0.568332034528267,2.4192934542639435,0.0350822564980543,0.0065337519611698,-0.5411603889431603,0.0212617810707025,0.9217530900168774,0.2733968957602406,0.0003166155772762,0.1012871494788521,0.1506135304679204,1.9924649024688585e-06,5.333489710278315e-08,0.2000457864056433,0.4000000022940345,0.1585480230064458,-4.725555508168152e-32,2.4160281524897464e-32,2.0223653700388257e-31,1.5043749198640658e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0873691379972821,0.002708861266947,1,6
00-0030578,Cordarrelle Patterson,RB,PIT,2024,14,4,3.0,0,1,1,-2.0,0,CLE,0.044270832,-5.854028,-1.014384,0.041666668,-5.0,-0.026041666,0.4,0,0.0,0.0,5.0,3.0,0.3311152871738326,0.0,0.0,PIT,-6.0,43.0,24.5,0.0,0.0,0.0,0.0016636704695752,0.9180451644578091,3.2081986893224944e-10,0.4728186470400005,0.0,0.0,0.0,0.0,0.0,0.0002530781986025,0.1339118879351595,0.9380494315410084,3,0.14,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3951175523990367,10.79604214292826,1.5409992207169607,16.251576072558372,0.0955854390276168,0.0615470171431173,0.6965434288045144,0.0460904029691656,7.35305185401013,1.0346263447010178,0.0001899693463657,0.0607722896873112,0.0903681182807522,1.195478941481315e-06,3.2000938261669895e-08,0.1200274718433859,0.2400000013764207,0.1511288138038675,-2.8353333049008913e-32,1.4496168914938475e-32,1.213419222023295e-31,9.026249519184397e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0557917066804653,2.2870200585592023e-05,1,7
00-0030578,Cordarrelle Patterson,RB,PIT,2024,15,2,9.0,0,1,1,-1.0,0,PHI,0.04324065,-0.5700041,-0.9014696,0.04761905,-6.0,-0.040268455,0.16666667,0,0.0,0.0,2.0,1.0,0.4386691723043003,0.0,0.0,PIT,5.5,43.0,18.75,0.0,0.0,0.0,0.413515874263919,0.0970378120508654,5.34699781553752e-10,0.0126486285448316,0.0,0.0,0.0,0.0,0.0,0.2586624014853402,0.2592054901117551,0.8631929117272297,3,0.14,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.037070531439422,7.677625285756956,1.3245995324301765,8.950945643535022,0.075059596253198,-2.3046830796921576,0.0121724447643979,0.0443209089448714,2.4118311124060767,0.7807758092047965,0.0001139816078194,0.0364633738123867,0.0542208709684513,7.172873648887889e-07,1.920056295700193e-08,0.0720164831060315,0.1440000008258524,0.1466772882823205,-1.7011999829405347e-32,8.697701348963084e-33,7.280515332139771e-32,5.4157497115106365e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0035383260147468,0.0140249006953263,1,25
