,,description,price
,,Saquon Barkley,-190
,,Jalen Hurts,-125
,,AJ Brown,135
,,CeeDee Lamb,150
,,DeVonta Smith,170
,,Dallas Goedert,230
,,Javonte Williams,265
,,George Pickens,265
,,Jaydon Blue,310
,,Jake Ferguson,360
,,Miles Sanders,390
,,Jahan Dotson,400
,,Jalen Tolbert,425
,,AJ Dillon,500
,,Will Shipley,550
,,Phil Mafah,550
,,Philadelphia Eagles D/ST,550
,,Dallas Cowboys D/ST,650
,,Grant Calcaterra,700
,,Johnny Wilson,750
,,Elijah Cooks,750
,,Dak Prescott,750
,,Kylen Granson,800
,,Jalen Brooks,850
,,Terrace Marshall Jr.,900
,,Ainias Smith,900
,,Jonathan Mingo,900
,,Luke Schoonmaker,900
,,KaVontae Turpin,950
,,Hunter Luepke,1000
,,Ryan Flournoy,1100
,,Parris Campbell,1200
,,Nick Muse,1400
,,Avery Williams,1500
,,Brevyn Spann-Ford,1600
,,Deuce Vaughn,1700
,,John Stephens Jr.,2000
,,Omarion Hampton,130
,,Isiah Pacheco,155
,,Ladd McConkey,165
,,Rashee Rice,165
,,Najee Harris,170
,,Xavier Worthy,190
,,Travis Kelce,195
,,Marquise Brown,255
,,Kareem Hunt,265
,,Tre Harris,285
,,Brashard Smith,330
,,Quentin Johnston,350
,,Elijah Mitchell,370
,,Patrick Mahomes,380
,,Will Dissly,400
,,Noah Gray,400
,,Justin Herbert,425
,,Tyler Conklin,475
,,JuJu Smith-Schuster,500
,,Jalen Royals,500
,,Los Angeles Chargers D/ST,550
,,Kansas City Chiefs D/ST,550
,,Oronde Gadsden II,600
,,Hassan Haskins,650
,,Kimani Vidal,650
,,Carson Steele,700
,,Derius Davis,750
,,KeAndre Lambert-Smith,850
,,Tucker Fisk,950
,,Nikko Remigio,950
,,Jalen Reagor,1000
,,Justyn Ross,1000
,,Jaret Patterson,1100
,,Skyy Moore,1400
,,Tyquan Thornton,1400
,,Jared Wiley,4000
,,James Conner,-130
,,Alvin Kamara,100
,,Marvin Harrison Jr.,125
,,Chris Olave,180
,,Trey McBride,190
,,Kyler Murray,225
,,Trey Benson,310
,,Michael Wilson,320
,,Juwan Johnson,330
,,Rashid Shaheed,330
,,Zay Jones,340
,,Brandin Cooks,400
,,Arizona Cardinals D/ST,500
,,Tyler Shough,550
,,New Orleans Saints D/ST,550
,,Greg Dortch,650
,,Kendre Miller,700
,,Elijah Higgins,800
,,Emari Demercado,950
,,Xavier Weaver,950
,,Bub Means,1000
,,Cam Akers,1100
,,Simi Fehoko,1100
,,Devin Neal,1100
,,Cedrick Wilson Jr.,1300
,,Jack Stoll,1300
,,Foster Moreau,1300
,,Tip Reiman,1300
,,Michael Carter,1500
,,Trishton Jackson,1600
,,Andre Baccellia,1600
,,Clyde Edwards-Helaire,1700
,,Kevin Austin,1700
,,Josiah Deguara,1700
,,Donovan Peoples-Jones,1800
,,Tejhaun Palmer,1800
,,Dante Pettis,1900
,,Mason Tipton,1900
,,Bijan Robinson,-180
,,Bucky Irving,-170
,,Mike Evans,110
,,Drake London,115
,,Chris Godwin,185
,,Darnell Mooney,230
,,Rachaad White,230
,,Emeka Egbuka,240
,,Kyle Pitts,260
,,Tyler Allgeier,265
,,Cade Otton,265
,,Jalen McMillan,265
,,Baker Mayfield,285
,,Ray-Ray McCloud III,350
,,Tampa Bay Buccaneers D/ST,550
,,Atlanta Falcons D/ST,600
,,Charlie Woerner,700
,,Sean Tucker,700
,,Michael Penix Jr.,850
,,Sterling Shepard,900
,,Trey Palmer,900
,,Jamal Agnew,1000
,,KhaDarel Hodge,1000
,,Payne Durham,1000
,,Rakim Jarrett,1200
,,Chris Blair,1300
,,Casey Washington,1300
,,Teagan Quitoriano,1300
,,Carlos Washington Jr.,1300
,,Ryan Miller,1300
,,Ko Kieft,1300
,,Tez Johnson,1300
,,Kameron Johnson,1500
,,Elijah Dotson,1600
,,Feleipe Franks,1800
,,Devin Culp,1800
,,Chuba Hubbard,-105
,,Brian Thomas Jr,115
,,Travis Hunter,155
,,Tetairoa McMillan,175
,,Tank Bigsby,180
,,Travis Etienne Jr.,185
,,Bhayshul Tuten,205
,,Brenton Strange,290
,,Xavier Legette,310
,,Adam Thielen,320
,,Ja'Tavion Sanders,350
,,Dyami Brown,360
,,Tommy Tremble,360
,,Rico Dowdle,360
,,Bryce Young,400
,,Trevor Lawrence,425
,,Parker Washington,450
,,Jalen Coker,450
,,Jacksonville Jaguars D/ST,550
,,Carolina Panthers D/ST,550
,,Johnny Mundt,600
,,Trevor Etienne,650
,,Jimmy Horn Jr.,750
,,Mitchell Evans,800
,,LeQuint Allen Jr.,850
,,Quintin Morris,1000
,,Trenton Irwin,1100
,,Austin Trammell,1300
,,Joshua Cephus,1300
,,Hunter Long,1300
,,David Moore,1400
,,Raheem Blackshear,1400
,,Hunter Renfrow,1500
,,Chase Brown,-135
,,Ja'Marr Chase,-125
,,Tee Higgins,125
,,Quinshon Judkins,165
,,David Njoku,190
,,Jerry Jeudy,205
,,Dylan Sampson,255
,,Jerome Ford,260
,,Zack Moss,275
,,Cedric Tillman,300
,,Joe Burrow,340
,,Andrei Iosivas,350
,,Mike Gesicki,400
,,Diontae Johnson,425
,,Cincinnati Bengals D/ST,500
,,Harold Fannin Jr.,550
,,Cleveland Browns D/ST,550
,,Pierre Strong Jr.,650
,,Jermaine Burton,650
,,Jamari Thrash,800
,,Joe Flacco,950
,,Samaje Perine,950
,,Michael Woods II,1000
,,Tahj Brooks,1000
,,DeAndre Carter,1100
,,Tanner Hudson,1100
,,Drew Sample,1200
,,Cam Grandy,1200
,,Charlie Jones,1200
,,Blake Whiteheart,1700
,,Jonathan Taylor,-145
,,De'Von Achane,-135
,,Tyreek Hill,135
,,Michael Pittman Jr.,175
,,Jaylen Waddle,195
,,Tyler Warren,225
,,Josh Downs,235
,,Darren Waller,265
,,Daniel Jones,275
,,Alec Pierce,295
,,Adonai Mitchell,310
,,Jaylen Wright,350
,,Nick Westbrook-Ikhine,450
,,Khalil Herbert,475
,,Indianapolis Colts D/ST,550
,,Miami Dolphins D/ST,550
,,Malik Washington,650
,,Mo Alie-Cox,700
,,Tua Tagovailoa,700
,,Julian Hill,750
,,Pharaoh Brown,800
,,Alexander Mattison,850
,,Drew Ogletree,950
,,Ashton Dulin,1000
,,Tyler Goodson,1000
,,Tanner Conner,1000
,,Erik Ezukanma,1200
,,Alec Ingold,1200
,,D.J. Montgomery,1300
,,Will Mallory,1300
,,Dee Eskridge,1400
,,Laquon Treadwell,1500
,,Salvon Ahmed,1700
,,Ashton Jeanty,100
,,Rhamondre Stevenson,145
,,TreVeyon Henderson,155
,,Brock Bowers,185
,,Stefon Diggs,190
,,Jakobi Meyers,240
,,Hunter Henry,300
,,DeMario Douglas,300
,,Drake Maye,370
,,Jack Bech,400
,,Raheem Mostert,425
,,Geno Smith,500
,,New England Patriots D/ST,500
,,Kyle Williams,550
,,Mack Hollins,550
,,Las Vegas Raiders D/ST,550
,,Austin Hooper,600
,,Dont'e Thornton Jr.,600
,,Kendrick Bourne,650
,,Ja'Lynn Polk,650
,,Kayshon Boutte,650
,,Tre Tucker,650
,,Michael Mayer,650
,,Javon Baker,750
,,Antonio Gibson,900
,,Jaheim Bell,1000
,,Sincere McCormick,1000
,,Jack Westover,1200
,,Tommy Mellott,1300
,,Zamir White,1300
,,Collin Johnson,1300
,,Trayveon Williams,1500
,,Brock Lampe,1500
,,Kyle Philips,1500
,,Ian Thomas,1700
,,Dylan Laube,1700
,,Justin Shorter,1800
,,Qadir Ismail,2000
,,Brian Robinson Jr.,105
,,Jayden Daniels,125
,,Terry McLaurin,130
,,Deebo Samuel Sr.,130
,,Malik Nabers,135
,,Tyrone Tracy Jr.,190
,,Zach Ertz,200
,,Cam Skattebo,245
,,Austin Ekeler,250
,,Jaylin Lane,295
,,Darius Slayton,350
,,Wan'Dale Robinson,350
,,K.J. Osborn,450
,,Ben Sinnott,500
,,Luke McCaffrey,500
,,Russell Wilson,500
,,Theo Johnson,550
,,Washington Commanders D/ST,550
,,New York Giants D/ST,550
,,Jeremy McNichols,700
,,Devin Singletary,750
,,Chris Rodriguez Jr.,800
,,Jalin Hyatt,800
,,Chris Moore,900
,,John Bates,900
,,Jacory Croskey-Merritt,950
,,Mike Strachan,1100
,,Daniel Bellinger,1400
,,Chris Manhertz,1600
,,Lil'Jordan Humphrey,1600
,,Greg Dulcich,1600
,,Zach Pascal,2000
,,Eric Gray,2000
,,Ihmir Smith-Marsette,2200
,,Bryce Ford-Wheaton,2200
,,Breece Hall,130
,,Kaleb Johnson,175
,,Jaylen Warren,180
,,Garrett Wilson,195
,,Justin Fields,195
,,DK Metcalf,195
,,Jonnu Smith,300
,,Braelon Allen,340
,,Pat Freiermuth,340
,,Calvin Austin III,400
,,Mason Taylor,475
,,Allen Lazard,500
,,New York Jets D/ST,500
,,Pittsburgh Steelers D/ST,500
,,Josh Reynolds,550
,,Roman Wilson,600
,,Robert Woods,650
,,Jeremy Ruckert,750
,,Kenneth Gainwell,850
,,Cordarrelle Patterson,900
,,Arian Smith,900
,,Scott Miller,950
,,Darnell Washington,1000
,,Tyler Johnson,1100
,,Ben Skowronek,1200
,,Xavier Gipson,1300
,,Aaron Rodgers,1300
,,Isaiah Davis,1400
,,Trey Sermon,1400
,,Malachi Corley,1500
,,Brandon Johnson,1600
,,Stone Smartt,2000
,,Connor Heyward,2200
,,Kene Nwangwu,2500
,,Courtland Sutton,145
,,J.K. Dobbins,150
,,RJ Harvey,150
,,Tony Pollard,190
,,Calvin Ridley,235
,,Evan Engram,250
,,Marvin Mims Jr.,250
,,Bo Nix,310
,,Cameron Ward,340
,,Tyjae Spears,350
,,Devaughn Vele,370
,,Troy Franklin,400
,,Tyler Lockett,425
,,Chigoziem Okonkwo,450
,,Pat Bryant,450
,,Jaleel McLaughlin,500
,,Denver Broncos D/ST,500
,,Tennessee Titans D/ST,550
,,Audric Estime,600
,,Van Jefferson,850
,,Trent Sherfield Sr.,900
,,Adam Trautman,900
,,Lucas Krull,950
,,Treylon Burks,950
,,Elic Ayomanor,950
,,Chimere Dike,1000
,,Gunnar Helm,1000
,,Josh Whyle,1100
,,Nate Adkins,1100
,,Michael Burton,1400
,,Tyler Badie,1400
,,Xavier Restrepo,1400
,,James Proche II,1800
,,Jha'Quan Jackson,1800
,,Julius Chestnut,1900
,,David Martin-Robinson,2500
,,Christian McCaffrey,-180
,,Kenneth Walker III,-120
,,George Kittle,155
,,Jaxon Smith-Njigba,180
,,Ricky Pearsall,205
,,Cooper Kupp,210
,,Brandon Aiyuk,210
,,Jauan Jennings,210
,,Zach Charbonnet,265
,,Isaac Guerendo,340
,,Marquez Valdes-Scantling,400
,,Brock Purdy,425
,,Noah Fant,475
,,Demarcus Robinson,475
,,Elijah Arroyo,500
,,San Francisco 49ers D/ST,550
,,Sam Darnold,600
,,Jake Bobo,750
,,Ricky White III,750
,,Tory Horton,750
,,Kenny McIntosh,750
,,AJ Barner,850
,,Damien Martinez,850
,,Kyle Juszczyk,850
,,Cody White,900
,,James Jordan,950
,,Steven Sims,1000
,,Jordan Watkins,1000
,,Jacob Cowing,1000
,,George Holani,1100
,,Eric Saubert,1200
,,Robbie Ouzts,1200
,,Dareke Young,1200
,,Patrick Taylor,1300
,,Luke Farrell,1400
,,Isaiah Hodgins,1400
,,Junior Bergen,1400
,,Ross Dwelley,1400
,,Brayden Willis,1400
,,Josh Jacobs,-180
,,Jahmyr Gibbs,-160
,,Amon-Ra St. Brown,120
,,David Montgomery,125
,,Sam LaPorta,185
,,Jameson Williams,185
,,Jayden Reed,190
,,Tucker Kraft,200
,,Romeo Doubs,230
,,Matthew Golden,230
,,Dontayvion Wicks,360
,,MarShawn Lloyd,425
,,Tim Patrick,500
,,Jordan Love,550
,,Green Bay Packers D/ST,600
,,Detroit Lions D/ST,600
,,Brock Wright,650
