bet_id,season,week,placed_at,strategy,player_id,player_display_name,team,opponent_team,position,model_prob,bookmaker,price_open,implied_open,price_close,implied_close,stake,outcome,pnl,clv
2025-15-top5_prob-00-0038543,2025,15,2026-09-02T23:00:49.373267+00:00,top5_prob,00-0038543,Jaxon Smith-Njigba,SEA,IND,WR,0.5085359267810783,DraftKings,-125,0.5555555555555556,,,1.0,0.0,-1.0,
2025-15-top5_prob-00-0039075,2025,15,2026-09-02T23:00:49.373267+00:00,top5_prob,00-0039075,Puka Nacua,LA,DET,WR,0.4857917901011626,DraftKings,-140,0.5833333333333334,,,1.0,0.0,-1.0,
2025-15-top5_prob-00-0036358,2025,15,2026-09-02T23:00:49.373267+00:00,top5_prob,00-0036358,CeeDee Lamb,DAL,MIN,WR,0.4799283554954409,DraftKings,115,0.4651162790697674,,,1.0,0.0,-1.0,
2025-15-top5_prob-00-0037247,2025,15,2026-09-02T23:00:49.373267+00:00,top5_prob,00-0037247,George Pickens,DAL,MIN,WR,0.4502028081881666,DraftKings,115,0.4651162790697674,,,1.0,0.0,-1.0,
2025-15-top5_prob-00-0036554,2025,15,2026-09-02T23:00:49.373267+00:00,top5_prob,00-0036554,Nico Collins,HOU,ARI,WR,0.4390773316920218,DraftKings,110,0.4761904761904761,,,1.0,1.0,1.1,
2025-15-top5_edge_le400-00-0038117,2025,15,2026-09-02T23:00:54.415707+00:00,top5_edge_le400,00-0038117,Wan'Dale Robinson,NYG,WAS,WR,0.3903425188567196,DraftKings,205,0.3278688524590163,,,0.0,1.0,0.0,
2025-15-top5_edge_le400-00-0039338,2025,15,2026-09-02T23:00:54.415707+00:00,top5_edge_le400,00-0039338,Brock Bowers,LV,PHI,TE,0.314981638064881,DraftKings,260,0.2777777777777778,,,0.0,0.0,-0.0,
2025-15-top5_edge_le400-00-0038559,2025,15,2026-09-02T23:00:54.415707+00:00,top5_edge_le400,00-0038559,Michael Wilson,ARI,HOU,WR,0.345607130362533,DraftKings,210,0.3225806451612903,,,0.0,1.0,0.0,
2025-15-top5_edge_le400-00-0036912,2025,15,2026-09-02T23:00:54.415707+00:00,top5_edge_le400,00-0036912,DeVonta Smith,PHI,LV,WR,0.3581730120274334,DraftKings,195,0.3389830508474576,,,0.0,0.0,-0.0,
2025-15-top5_edge_le400-00-0036358,2025,15,2026-09-02T23:00:54.415707+00:00,top5_edge_le400,00-0036358,CeeDee Lamb,DAL,MIN,WR,0.4799283554954409,DraftKings,115,0.4651162790697674,,,0.0,0.0,-0.0,
