Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Alec Pierce,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,2.5,100,2.5,-130,DraftKings
Josh Downs,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,3.5,-140,3.5,110,DraftKings
Kylen Granson,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,2.5,-110,2.5,-120,DraftKings
Michael Pittman Jr.,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,6.5,-150,6.5,120,DraftKings
Mo Alie-Cox,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,1.5,175,1.5,-230,DraftKings
Bijan Robinson,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,3.5,120,3.5,-150,DraftKings
Chris Olave,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,5.5,-115,5.5,-115,DraftKings
Drake London,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,3.5,-135,3.5,105,DraftKings
Jonnu Smith,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,2.5,-110,2.5,-120,DraftKings
Kyle Pitts,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,3.5,140,3.5,-180,DraftKings
Rashid Shaheed,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,2.5,-166,2.5,130,DraftKings
Tyler Allgeier,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,0.5,-140,0.5,110,DraftKings
Cade Otton,N/A,Carolina Panthers,Tampa Bay Buccaneers,2023,18,2024-01-07T18:01:00Z,2.5,-120,2.5,-110,DraftKings
Chris Godwin,N/A,Carolina Panthers,Tampa Bay Buccaneers,2023,18,2024-01-07T18:01:00Z,4.5,-110,4.5,-120,DraftKings
Mike Evans,N/A,Carolina Panthers,Tampa Bay Buccaneers,2023,18,2024-01-07T18:01:00Z,4.5,-125,4.5,-105,DraftKings
Rachaad White,N/A,Carolina Panthers,Tampa Bay Buccaneers,2023,18,2024-01-07T18:01:00Z,3.5,120,3.5,-150,DraftKings
Jordan Addison,N/A,Detroit Lions,Minnesota Vikings,2023,18,2024-01-07T18:01:00Z,3.5,-130,3.5,100,DraftKings
Justin Jefferson,N/A,Detroit Lions,Minnesota Vikings,2023,18,2024-01-07T18:01:00Z,6.5,105,6.5,-135,DraftKings
D.J. Moore,N/A,Green Bay Packers,Chicago Bears,2023,18,2024-01-07T21:26:00Z,5.5,120,5.5,-150,DraftKings
Brandin Cooks,N/A,Washington Commanders,Dallas Cowboys,2023,18,2024-01-07T21:26:00Z,3.5,130,3.5,-166,DraftKings
CeeDee Lamb,N/A,Washington Commanders,Dallas Cowboys,2023,18,2024-01-07T21:26:00Z,6.5,-145,6.5,114,DraftKings
Jake Ferguson,N/A,Washington Commanders,Dallas Cowboys,2023,18,2024-01-07T21:26:00Z,3.5,-166,3.5,130,DraftKings
Terry McLaurin,N/A,Washington Commanders,Dallas Cowboys,2023,18,2024-01-07T21:26:00Z,4.5,-115,4.5,-115,DraftKings
Dalton Kincaid,N/A,Miami Dolphins,Buffalo Bills,2023,18,2024-01-08T01:21:00Z,3.5,100,3.5,-130,DraftKings
Gabriel Davis,N/A,Miami Dolphins,Buffalo Bills,2023,18,2024-01-08T01:21:00Z,2.5,-130,2.5,100,DraftKings
James Cook,N/A,Miami Dolphins,Buffalo Bills,2023,18,2024-01-08T01:21:00Z,2.5,-175,2.5,135,DraftKings
Khalil Shakir,N/A,Miami Dolphins,Buffalo Bills,2023,18,2024-01-08T01:21:00Z,2.5,140,2.5,-180,DraftKings
Stefon Diggs,N/A,Miami Dolphins,Buffalo Bills,2023,18,2024-01-08T01:21:00Z,5.5,105,5.5,-135,DraftKings
