Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Bijan Robinson,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,-125,DraftKings
Mike Evans,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,125,DraftKings
Chris Godwin,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,145,DraftKings
Drake London,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,145,DraftKings
Bucky Irving,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,145,DraftKings
Rachaad White,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,185,DraftKings
Tyler Allgeier,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,230,DraftKings
Darnell Mooney,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,225,DraftKings
Kyle Pitts,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,250,DraftKings
Ray-Ray McCloud III,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,320,DraftKings
Cade Otton,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,350,DraftKings
Baker Mayfield,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,425,DraftKings
Sterling Shepard,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,425,DraftKings
Avery Williams,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,850,DraftKings
Sean Tucker,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,850,DraftKings
Kirk Cousins,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1000,DraftKings
KhaDarel Hodge,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1000,DraftKings
Jase McClellan,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1400,DraftKings
Charlie Woerner,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1300,DraftKings
Payne Durham,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1400,DraftKings
Kameron Johnson,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1300,DraftKings
Ross Dwelley,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,2200,DraftKings
Casey Washington,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1600,DraftKings
Devin Culp,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,2200,DraftKings
Ko Kieft,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1600,DraftKings
Aaron Jones,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,110,DraftKings
Justin Jefferson,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,105,DraftKings
Breece Hall,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,105,DraftKings
Garrett Wilson,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,180,DraftKings
Braelon Allen,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,260,DraftKings
Jordan Addison,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,295,DraftKings
Sam Darnold,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,360,DraftKings
Allen Lazard,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,310,DraftKings
Ty Chandler,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,425,DraftKings
Mike Williams,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,380,DraftKings
Jalen Nailor,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,425,DraftKings
Tyler Conklin,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,400,DraftKings
Johnny Mundt,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,475,DraftKings
Josh Oliver,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,750,DraftKings
Jeremy Ruckert,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,950,DraftKings
Aaron Rodgers,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1000,DraftKings
Trent Sherfield,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1200,DraftKings
Brandon Powell,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1200,DraftKings
Xavier Gipson,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1500,DraftKings
Myles Gaskin,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,2200,DraftKings
Malachi Corley,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1100,DraftKings
C.J. Ham,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1700,DraftKings
Isaiah Davis,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,2000,DraftKings
Trishton Jackson,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1900,DraftKings
Brenden Bates,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1800,DraftKings
